Int_no,Rue_1,Rue_2,Arrondissement,X,Y,long,lat
1,Charlevoix,Notre-Dame,Sud-Ouest,298885.28,5038083.29,-73.5756607226542,45.4826496162965
2,Docteur-Penfield,Peel,Ville-Marie,298588.54,5040384.56,-73.5794857229144,45.5033548732072
3,Borden,Somerled,Côte-des-Neiges - Notre-Dame-de-Grâce,294064.9,5036578.94,-73.637289704576,45.4690553168415
4,Cavendish,Côte-Saint-Luc,Côte-des-Neiges - Notre-Dame-de-Grâce,293240.69,5036867.49,-73.6478371657479,45.4716386650898
5,Cavendish,Fielding,Côte-des-Neiges - Notre-Dame-de-Grâce,293705.38,5036607.52,-73.64188818727,45.4693068740853
6,Cavendish,Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,294459.19,5036147.22,-73.632238114505,45.4651764496005
7,Cavendish,Somerled,Côte-des-Neiges - Notre-Dame-de-Grâce,293990.38,5036449.02,-73.6382398699786,45.4678850876784
8,Cavendish,Terrebonne,Côte-des-Neiges - Notre-Dame-de-Grâce,294224.52,5036321.42,-73.6352428106876,45.4667404684712
9,Coronation,Côte-Saint-Luc,Côte-des-Neiges - Notre-Dame-de-Grâce,292805.38,5036240.3,-73.6533892110861,45.4659875848175
10,Côte-Saint-Luc,Ellerdale/Fielding,Côte-des-Neiges - Notre-Dame-de-Grâce,294122.34,5037438.12,-73.6365737869105,45.4767874876348
11,Côte-Saint-Luc,Grand Boulevard,Côte-des-Neiges - Notre-Dame-de-Grâce,293692.92,5037250.03,-73.6420620612779,45.4750882710212
12,Curatteau,Sherbrooke,Mercier - Hochelaga - Maisonneuve,301959.22,5050476,-73.5364109915765,45.5941831137242
13,Côte-Saint-Luc,Marcil/Somerled,Côte-des-Neiges - Notre-Dame-de-Grâce,294733.7,5037619.25,-73.6287578519344,45.4784264581251
14,Côte-Saint-Luc,Ashdale/Robert-Burns,Côte-des-Neiges - Notre-Dame-de-Grâce,292453.25,5035763.71,-73.6578803205827,45.4616928740266
15,Côte-Saint-Luc,Rosedale,Côte-des-Neiges - Notre-Dame-de-Grâce,292960.75,5036471.14,-73.6514078813595,45.4680674391359
16,Côte-Saint-Luc,Saint-Ignatius,Côte-des-Neiges - Notre-Dame-de-Grâce,292738.26,5036110.25,-73.6542443583179,45.4648161796315
17,Côte-Saint-Luc,Stratford/Wilson,Côte-des-Neiges - Notre-Dame-de-Grâce,294425.62,5037540.5,-73.6326968235769,45.4777133207101
18,Côte-Saint-Luc,Walkley,Côte-des-Neiges - Notre-Dame-de-Grâce,293095.66,5036682.86,-73.6496876148444,45.4699748655227
19,Côte-Saint-Luc,West Hill,Côte-des-Neiges - Notre-Dame-de-Grâce,293491.24,5037102.25,-73.6446381840473,45.4737552433589
20,Draper,Terrebonne,Côte-des-Neiges - Notre-Dame-de-Grâce,294736.07,5037133.62,-73.6287175881613,45.4740565750586
21,Fielding,Grand Boulevard,Côte-des-Neiges - Notre-Dame-de-Grâce,293923.16,5037104.07,-73.6391140169637,45.4737784818143
22,Grand Boulevard,Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,294741.1,5036593.1,-73.6286421891113,45.4691928014228
23,Grand Boulevard,Somerled,Côte-des-Neiges - Notre-Dame-de-Grâce,294278.24,5036881.77,-73.6345678209759,45.471783566196
24,Grand Boulevard,Terrebonne,Côte-des-Neiges - Notre-Dame-de-Grâce,294498.35,5036742.79,-73.6317498226865,45.470536242311
25,Monkland,Royal,Côte-des-Neiges - Notre-Dame-de-Grâce,294931.98,5036890.78,-73.6262070294942,45.4718741860364
26,Monkland,Wilson,Côte-des-Neiges - Notre-Dame-de-Grâce,295079.15,5037116.18,-73.6243292630766,45.4739045022873
27,Somerled,Walkley,Côte-des-Neiges - Notre-Dame-de-Grâce,293880.15,5036250.05,-73.6396451319075,45.4660929492754
28,Somerled,West Broadway,Côte-des-Neiges - Notre-Dame-de-Grâce,293420.1,5035415.51,-73.645509001665,45.4585760260064
29,Addington,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,296109.89,5037011.43,-73.6111443154186,45.4729755016792
30,Beaconsfield,Saint-Jacques,Côte-des-Neiges - Notre-Dame-de-Grâce,295751.57,5036046.1,-73.6157093543735,45.4642844611712
31,Benny,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,294890.32,5036115.82,-73.626724211694,45.4649001471918
32,Botrel,Côte-Saint-Antoine,Côte-des-Neiges - Notre-Dame-de-Grâce,295867.85,5037259.61,-73.614244452087,45.4752056850339
33,Botrel,Notre-Dame-de-Grâce,Côte-des-Neiges - Notre-Dame-de-Grâce,295708.02,5037364.35,-73.616290652449,45.4761461203728
34,Botrel,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,296166.44,5037053,-73.6104217870287,45.4733502691357
35,Cavendish,Saint-Jacques,Côte-des-Neiges - Notre-Dame-de-Grâce,295086.29,5035736.47,-73.6242106724257,45.4614893295041
36,Cavendish,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,294714.51,5035985.47,-73.6289697759635,45.4637246804769
37,Coronation,Monkland/Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,294091.53,5035536.08,-73.6369264186934,45.4596715857034
38,Côte-Saint-Antoine,Décarie,Côte-des-Neiges - Notre-Dame-de-Grâce,295944.68,5037381.98,-73.6132639848366,45.4763078046548
39,Côte-Saint-Antoine,Girouard,Côte-des-Neiges - Notre-Dame-de-Grâce,295784.48,5037126.03,-73.6153083218751,45.4740025997019
40,Côte-Saint-Antoine,Hampton/Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,295376.56,5036481,-73.6205132286859,45.4681929367468
41,Côte-Saint-Antoine,Marcil,Côte-des-Neiges - Notre-Dame-de-Grâce,295698.79,5036992.97,-73.6164018281153,45.4728041532179
42,Décarie,Maisonneuve / Upper Lachine,Côte-des-Neiges - Notre-Dame-de-Grâce,296534.95,5037001.42,-73.6057077463719,45.4728905873218
43,Décarie,Monkland inter. Est,Côte-des-Neiges - Notre-Dame-de-Grâce,295451.72,5037697.5,-73.619575181999,45.47914056986
44,Décarie,Monkland inter. Ouest,Côte-des-Neiges - Notre-Dame-de-Grâce,295398.72,5037615.5,-73.6202515415063,45.4784019853879
45,Décarie,Notre-Dame-de-Grâce,Côte-des-Neiges - Notre-Dame-de-Grâce,295784.25,5037485.7,-73.6153178645402,45.4772390711825
46,Décarie,Saint-Jacques,Côte-des-Neiges - Notre-Dame-de-Grâce,296874.7,5036795.12,-73.6013591154516,45.4710381424478
47,Décarie,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,296291.12,5037159.6,-73.6088289998699,45.4743110353558
48,Elmhurst,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,293738.38,5035019.93,-73.6414304309324,45.4550215205632
49,Elmhurst,Saint-Jacques,Côte-des-Neiges - Notre-Dame-de-Grâce,294066.94,5034838,-73.6372256068681,45.4533895508438
50,Girouard,Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,295287.25,5037445.34,-73.6216740528942,45.4768692992327
51,Girouard,Notre-Dame-de-Grâce,Côte-des-Neiges - Notre-Dame-de-Grâce,295621.01,5037231.26,-73.6174010616737,45.4749473776118
52,Girouard,Saint-Jacques,Côte-des-Neiges - Notre-Dame-de-Grâce,296636.99,5036580.53,-73.6043956924322,45.4691044232256
53,Girouard,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,296044.39,5036962.39,-73.6119811683725,45.4725333989732
54,Girouard,Upper Lachine,Côte-des-Neiges - Notre-Dame-de-Grâce,296393.44,5036734.33,-73.6075130479793,45.4704854983677
55,Grand Boulevard,Notre-Dame-de-Grâce,Côte-des-Neiges - Notre-Dame-de-Grâce,295068.34,5036362.48,-73.6244525952499,45.4671222120693
56,Grand Boulevard,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,295150.98,5036309.93,-73.6233947306475,45.4666504891934
57,Madison,Saint-Jacques,Côte-des-Neiges - Notre-Dame-de-Grâce,295524.94,5035913.5,-73.6186049413218,45.4630882911801
58,Maisonneuve,Marlowe,Côte-des-Neiges - Notre-Dame-de-Grâce,296627.62,5037110.45,-73.604524337836,45.4738727803174
59,Maisonneuve,Vendôme,Côte-des-Neiges - Notre-Dame-de-Grâce,296677.48,5037171.84,-73.603887646928,45.4744257775977
60,Marcil,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,295905.5,5036861.13,-73.6137556859852,45.4716204595471
61,Melrose,Upper Lachine,Côte-des-Neiges - Notre-Dame-de-Grâce,296067.52,5036393.01,-73.6116752259581,45.4674101423304
62,Sainte-Anne-de-Bellevue,Saint-Jacques,Côte-des-Neiges - Notre-Dame-de-Grâce,294500.53,5035081,-73.6316871241062,45.45558270749
63,Angrignon,Notre-Dame,Sud-Ouest,294966.42,5034744.51,-73.6257236271279,45.4525615188908
64,Notre-Dame-de-Grâce,Royal,Côte-des-Neiges - Notre-Dame-de-Grâce,295265.08,5036672.03,-73.6219426125214,45.4699104002343
65,Arthur-Léveillé,Louis-Hippolyte-La Fontaine,Rivières-des-Prairies - Pointe-aux-Trembles,297048.37,5053182.52,-73.5993975279351,45.6184996641756
66,Oxford,Upper Lachine,Côte-des-Neiges - Notre-Dame-de-Grâce,296231.74,5036562.27,-73.6095780552358,45.4689352570658
67,Rosedale,Sherbrooke,Côte-des-Neiges - Notre-Dame-de-Grâce,294327.5,5035695.92,-73.6339125448992,45.4611134786636
68,Saint-Jacques,6900 Saint-Jacques,Côte-des-Neiges - Notre-Dame-de-Grâce,294705.1,5035278.5,-73.6290755910293,45.4573628929456
69,Saint-Jacques,West Broadway,Côte-des-Neiges - Notre-Dame-de-Grâce,294302.67,5034936.45,-73.6342138331504,45.4542790324691
70,Sherbrooke,Vendôme,Côte-des-Neiges - Notre-Dame-de-Grâce,296432.58,5037331.53,-73.6070226510321,45.4758598497958
71,Sherbrooke,7141 Ouest (Univ. Concordia),Ville-Marie,293928.62,5035315.5,-73.6390046231868,45.4576841863023
72,Sherbrooke,West Broadway,Côte-des-Neiges - Notre-Dame-de-Grâce,293833.59,5035187.86,-73.6402168541013,45.4565341357257
73,Sherbrooke,West Hill,Côte-des-Neiges - Notre-Dame-de-Grâce,294955.15,5036166.93,-73.6258961964642,45.4653609756426
74,Sherbrooke,Wilson,Côte-des-Neiges - Notre-Dame-de-Grâce,295705.93,5036715.54,-73.6163053750117,45.4703078030617
75,Chemin-des-Moulins,Irlandais des,Sud-Ouest,301218.01,5038804.35,-73.5458258619277,45.4891539091641
76,Décarie,Jockeys des inter. Ouest,Côte-des-Neiges - Notre-Dame-de-Grâce,292773.4,5039407.64,-73.6538757364521,45.4944881343902
77,Bourret,Décarie inter. Est,Côte-des-Neiges - Notre-Dame-de-Grâce,293933.6,5038715.5,-73.6390161456619,45.4882789982095
78,Bourret,Décarie inter. Ouest,Côte-des-Neiges - Notre-Dame-de-Grâce,293912.66,5038678.5,-73.6392832141393,45.4879457300692
79,54 e Avenue,Henri-Bourassa Est,Rivières-des-Prairies - Pointe-aux-Trembles,300318.45,5055713.59,-73.5574892847247,45.6413035893151
80,Cedar Crescent,Queen-Mary,Côte-des-Neiges - Notre-Dame-de-Grâce,295234.01,5039045.64,-73.6223862008178,45.4912687749327
81,Clanranald,Isabella,Côte-des-Neiges - Notre-Dame-de-Grâce,294274.52,5038077.19,-73.6346410130091,45.4825404328435
82,Clanranald,Queen-Mary,Côte-des-Neiges - Notre-Dame-de-Grâce,294525.03,5037913.01,-73.6314330846115,45.4810668011032
83,Clanranald,Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,293504.76,5038570.22,-73.644499026399,45.4869648984623
84,Clanranald,Vézina,Côte-des-Neiges - Notre-Dame-de-Grâce,293053.77,5038859.54,-73.6502754053579,45.4895608781038
85,Coolbrook,Isabella,Côte-des-Neiges - Notre-Dame-de-Grâce,294388.63,5038253.13,-73.6331850622895,45.4841253290535
86,Coolbrook,Queen-Mary,Côte-des-Neiges - Notre-Dame-de-Grâce,294640.67,5038091.23,-73.6299575572742,45.482672195603
87,Côte-Sainte-Catherine,Décarie inter. Est,Côte-des-Neiges - Notre-Dame-de-Grâce,294070.38,5038634,-73.6372645141307,45.4875477424459
88,Côte-Sainte-Catherine,Décarie inter. Ouest,Côte-des-Neiges - Notre-Dame-de-Grâce,294044.1,5038593.5,-73.6375998270824,45.4871829015771
89,Côte-Saint-Luc,5100,Côte-des-Neiges - Notre-Dame-de-Grâce,295374.22,5038073,-73.6205737002392,45.4825184441166
90,Côte-Saint-Luc,Décarie inter. Est,Côte-des-Neiges - Notre-Dame-de-Grâce,295218,5037894.42,-73.6225685629535,45.4809093752788
91,Côte-Saint-Luc,Décarie inter. Ouest,Côte-des-Neiges - Notre-Dame-de-Grâce,295194.15,5037858.91,-73.6228729459903,45.4805895127461
92,Côte-Saint-Luc,Earnscliffe,Côte-des-Neiges - Notre-Dame-de-Grâce,295055.44,5037694.44,-73.6246439834258,45.4791076160486
93,Côte-Saint-Luc,Girouard,Côte-des-Neiges - Notre-Dame-de-Grâce,294938.26,5037673.03,-73.6261424151192,45.4789133139531
94,Décarie,Edouard-Montpetit inter. Est,Côte-des-Neiges - Notre-Dame-de-Grâce,294307.53,5038484.5,-73.6342274568766,45.4862060823633
95,Décarie,Edouard-Montpetit inter. Ouest,Côte-des-Neiges - Notre-Dame-de-Grâce,294278.53,5038437,-73.6345974274439,45.4857782202866
96,Décarie,Ferrier inter. Est,Côte-des-Neiges - Notre-Dame-de-Grâce,292477.7,5039755.5,-73.6576678253704,45.4976131612283
97,Décarie,Ferrier inter. Ouest,Côte-des-Neiges - Notre-Dame-de-Grâce,292436.66,5039710,-73.6581917970437,45.4972030078012
98,Décarie,Isabella inter. Est,Côte-des-Neiges - Notre-Dame-de-Grâce,294463.5,5038380,-73.632229978368,45.4852680732117
99,Décarie,Isabella inter. Ouest,Côte-des-Neiges - Notre-Dame-de-Grâce,294443.03,5038343.5,-73.6324910708202,45.4849393269234
100,Décarie,Jean-Talon inter.Est(desJockey,Côte-des-Neiges - Notre-Dame-de-Grâce,292855.06,5039425,-73.6528313543527,45.4946457494609
101,Décarie,Jean-Talon interOuest(Jockey),Côte-des-Neiges - Notre-Dame-de-Grâce,292810.8,5039374,-73.6533963977022,45.4941860714125
102,Décarie,Snowdon inter. Est,Côte-des-Neiges - Notre-Dame-de-Grâce,294905.25,5038097,-73.6265731900227,45.4827279169625
103,Décarie,Snowdon inter. Ouest,Côte-des-Neiges - Notre-Dame-de-Grâce,294873.7,5038067,-73.6269761687707,45.4824575158372
104,Décarie,Paré inter. Est,Côte-des-Neiges - Notre-Dame-de-Grâce,292655.16,5039591,-73.655393104172,45.496136034824
105,Décarie,Paré inter. Ouest,Côte-des-Neiges - Notre-Dame-de-Grâce,292618.56,5039547.5,-73.6558603192325,45.4957439660645
106,Décarie,Plamondon inter. Est,Côte-des-Neiges - Notre-Dame-de-Grâce,293447.06,5039028,-73.6452477621163,45.4910832606278
107,Décarie,Plamondon inter. Ouest,Côte-des-Neiges - Notre-Dame-de-Grâce,293428.03,5038990.5,-73.6454903594135,45.4907455100269
108,Décarie,Queen-Mary inter. Est,Côte-des-Neiges - Notre-Dame-de-Grâce,294716.44,5038217,-73.6289908969893,45.4838050278318
109,Décarie,Queen-Mary inter. Ouest,Côte-des-Neiges - Notre-Dame-de-Grâce,294697.34,5038182.5,-73.6292345175411,45.4834943055543
110,Décarie,Royalmount/Savane inter. Est,Côte-des-Neiges - Notre-Dame-de-Grâce,292290.72,5039923,-73.6600645561836,45.4991170663678
111,Décarie,Royalmount/Savanne int. Ouest,Côte-des-Neiges - Notre-Dame-de-Grâce,292241.34,5039887,-73.660695482156,45.4987922368027
112,Décarie,Van Horne inter. Est,Côte-des-Neiges - Notre-Dame-de-Grâce,293689.62,5038873,-73.6421409883109,45.4896924089063
113,Décarie,Van Horne inter. Ouest,Côte-des-Neiges - Notre-Dame-de-Grâce,293672.25,5038834,-73.6423623271713,45.4893411936389
114,Décarie,Vézina inter. Est,Côte-des-Neiges - Notre-Dame-de-Grâce,293261.22,5039146.5,-73.6476281482804,45.4921465252535
115,Décarie,Vézina inter. Ouest,Côte-des-Neiges - Notre-Dame-de-Grâce,293221.94,5039112,-73.6481298844824,45.4918354292557
116,Earnscliffe,Queen-Mary,Côte-des-Neiges - Notre-Dame-de-Grâce,294589.86,5038013.14,-73.6306058905263,45.481968766153
117,Ferrier,Mountain Sights,Côte-des-Neiges - Notre-Dame-de-Grâce,292593.82,5039885.14,-73.6561852629356,45.4987817554933
118,Girouard,Terrebonne,Côte-des-Neiges - Notre-Dame-de-Grâce,295037.59,5037608.98,-73.6248706060357,45.4783383593726
119,Grosvenor,Queen-Mary,Côte-des-Neiges - Notre-Dame-de-Grâce,295090.88,5038820.61,-73.6242129346628,45.4892418817716
120,Jean-Talon,Mountain Sights,Côte-des-Neiges - Notre-Dame-de-Grâce,292966.09,5039549.52,-73.6514137718521,45.4957681234252
121,Lemieux / Ponsard,Queen-Mary,Côte-des-Neiges - Notre-Dame-de-Grâce,294929.25,5038569.69,-73.626275686401,45.4869817279867
122,MacDonald,Queen-Mary,Côte-des-Neiges - Notre-Dame-de-Grâce,294476.47,5037837.17,-73.6320526477951,45.4803836428912
123,MacDonald,Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,293458.7,5038496.68,-73.6450865672992,45.4863024072156
124,Mountain Sights,Paré,Côte-des-Neiges - Notre-Dame-de-Grâce,292774.53,5039725.34,-73.653869064048,45.4973469484142
125,Mountain Sights,Savane,Côte-des-Neiges - Notre-Dame-de-Grâce,292488.51,5039967.7,-73.6575348329731,45.4995228132321
126,Queen-Mary,Roslyn,Côte-des-Neiges - Notre-Dame-de-Grâce,295131.51,5038884.5,-73.6236943972534,45.4898173555459
127,Queen-Mary,Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,295045.81,5038752.25,-73.624788174811,45.4886261205685
128,Queen-Mary,Westbury,Côte-des-Neiges - Notre-Dame-de-Grâce,294808.61,5038376.77,-73.6278150941281,45.4852440334676
129,57 e Avenue,Henri-Bourassa Est,Rivières-des-Prairies - Pointe-aux-Trembles,300471.34,5055856.03,-73.555529280224,45.642586263922
130,Barclay,Côte-des-Neiges,Côte-des-Neiges - Notre-Dame-de-Grâce,294192.55,5040290.19,-73.6357373907768,45.502452699248
131,Barclay,Darlington,Côte-des-Neiges - Notre-Dame-de-Grâce,294669.75,5041030.28,-73.6296462410626,45.5091194201036
132,Hutchison,Ogilvy,Villeray - Saint-Michel - Parc-Extension,295068.11,5043372.57,-73.6245945794944,45.5302019141926
133,Barclay,Hudson,Côte-des-Neiges - Notre-Dame-de-Grâce,294498.96,5040798.67,-73.6318271289497,45.507032799422
134,Barclay,Westbury,Côte-des-Neiges - Notre-Dame-de-Grâce,293543.2,5039231.3,-73.6440224283217,45.4929141966297
135,Barclay,Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,293743.88,5039581.45,-73.6414627725423,45.4960682004353
136,Barclay,Wilderton,Côte-des-Neiges - Notre-Dame-de-Grâce,294890.27,5041378.7,-73.62683108988,45.5122578094335
137,Bedford,Côte-des-Neiges,Côte-des-Neiges - Notre-Dame-de-Grâce,294036.86,5040390.55,-73.6377318617672,45.5033533943843
138,Gosford,Notre-Dame/Saint-Claude,Ville-Marie,300632,5041020,-73.5533417463765,45.5090880326315
139,Bourret,Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,294265.09,5039251.59,-73.6347868419556,45.4931080460858
140,Queen,Wellington,Ville-Marie,300469.23,5039749.12,-73.5554136431504,45.497651121871
141,Côte-des-Neiges,Decelles,Côte-des-Neiges - Notre-Dame-de-Grâce,295763.73,5039503.81,-73.6156174726976,45.4953986443798
142,Côte-des-Neiges,Edouard-Montpetit,Côte-des-Neiges - Notre-Dame-de-Grâce,295084.66,5039709.05,-73.6243100965365,45.4972363555289
143,Côte-des-Neiges,Forest Hill,Côte-des-Neiges - Notre-Dame-de-Grâce,296414.52,5039519.63,-73.6072910156164,45.4955491238465
144,Côte-des-Neiges,Jean-Brillant,Côte-des-Neiges - Notre-Dame-de-Grâce,295285.26,5039581.05,-73.621740895576,45.4960873221381
145,Côte-des-Neiges,Lacombe,Côte-des-Neiges - Notre-Dame-de-Grâce,295157.36,5039662.55,-73.623378971071,45.4968189375573
146,Côte-des-Neiges,La Peltrie,Côte-des-Neiges - Notre-Dame-de-Grâce,294637.84,5040004.9,-73.6300333781922,45.4998921716447
147,Côte-des-Neiges,Linton,Côte-des-Neiges - Notre-Dame-de-Grâce,294564.87,5040052.12,-73.6309680733234,45.5003160099327
148,Appleton,Côte-des-Neiges/Plamondon,Côte-des-Neiges - Notre-Dame-de-Grâce,294256.25,5040250,-73.6349213972526,45.5020920189799
149,Côte-des-Neiges,Queen-Mary,Côte-des-Neiges - Notre-Dame-de-Grâce,295496.61,5039462.11,-73.6190344278782,45.4950198997524
150,Côte-des-Neiges,Ridgewood,Côte-des-Neiges - Notre-Dame-de-Grâce,296179.53,5039546.69,-73.6102981488331,45.4957897576551
151,Côte-des-Neiges,Saint-Kevin,Côte-des-Neiges - Notre-Dame-de-Grâce,295010.96,5039755.55,-73.6252540310541,45.497653751836
152,Côte-des-Neiges,Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,294469.79,5040112.34,-73.6321859757254,45.5008564928138
153,Côte-Sainte-Catherine,Darlington,Côte-des-Neiges - Notre-Dame-de-Grâce,295322.25,5040624.05,-73.6212877599526,45.5054731709934
154,Côte-Sainte-Catherine,Decelles,Côte-des-Neiges - Notre-Dame-de-Grâce,294981,5040089.92,-73.6256440699755,45.5006621307859
155,Côte-Sainte-Catherine,Hôpital Sainte-Justine,Côte-des-Neiges - Notre-Dame-de-Grâce,295119.66,5040307.5,-73.6238740721997,45.5026219429305
156,Côte-Sainte-Catherine,Hudson,Côte-des-Neiges - Notre-Dame-de-Grâce,295216.87,5040460.21,-73.6226331147025,45.5039974321776
157,Côte-Sainte-Catherine,Lavoie,Côte-des-Neiges - Notre-Dame-de-Grâce,294536.46,5039389.54,-73.6313177458833,45.4943534223394
158,Côte-Sainte-Catherine,Légaré,Côte-des-Neiges - Notre-Dame-de-Grâce,294677.46,5039613.54,-73.6295183344319,45.4963711279309
159,Côte-Sainte-Catherine,Lemieux,Côte-des-Neiges - Notre-Dame-de-Grâce,294278.77,5038983.04,-73.634606059775,45.4906917259746
160,Côte-Sainte-Catherine,Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,294394.27,5039167.04,-73.6331322856952,45.4923491677231
161,Côte-Sainte-Catherine,Westbury,Côte-des-Neiges - Notre-Dame-de-Grâce,294184.44,5038820.48,-73.6358093759839,45.4892275134223
162,Côte-Sainte-Catherine,Wilderton,Côte-des-Neiges - Notre-Dame-de-Grâce,295504.75,5040910.06,-73.6189577141418,45.5080492606587
163,Darlington,Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,294989.38,5040890.42,-73.6255528504466,45.5078654732339
164,Decelles,Edouard-Montpetit,Côte-des-Neiges - Notre-Dame-de-Grâce,295226.05,5039934.68,-73.6225053844715,45.4992686228346
165,Decelles,Jean-Brillant,Côte-des-Neiges - Notre-Dame-de-Grâce,295422.14,5039778.8,-73.6199933020728,45.4978686128089
166,Decelles,Lacombe,Côte-des-Neiges - Notre-Dame-de-Grâce,295295.66,5039882.05,-73.6216136583667,45.4987959879412
167,Decelles,Linton,Côte-des-Neiges - Notre-Dame-de-Grâce,294680.29,5040283.58,-73.6294959447149,45.5024004656448
168,Decelles,Queen-Mary,Côte-des-Neiges - Notre-Dame-de-Grâce,295609.72,5039645.71,-73.6175906567367,45.4966735090604
169,Decelles,Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,294605.86,5040333.55,-73.6304494173674,45.502849032388
170,Dieppe,Jean-Talon,Côte-des-Neiges - Notre-Dame-de-Grâce,294076,5040924.5,-73.6372426780672,45.5081586929259
171,Edouard-Montpetit,Louis-Colin,Côte-des-Neiges - Notre-Dame-de-Grâce,295511.88,5040378,-73.6188563911046,45.5032616633608
172,Edouard-Montpetit,Stirling,Côte-des-Neiges - Notre-Dame-de-Grâce,295797.55,5040825.56,-73.6152090075581,45.5072927361978
173,Edouard-Montpetit,Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,294642.27,5039010.92,-73.6299561183212,45.4909479875112
174,Hudson,Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,294776.75,5040628.05,-73.6282686452247,45.5055015392597
175,Jean-Talon,Parc,Villeray - Saint-Michel - Parc-Extension,295243.98,5043364.18,-73.6223428081738,45.5301288515419
176,Jean-Talon,Savane,Côte-des-Neiges - Notre-Dame-de-Grâce,293343.26,5040072.54,-73.6466001453623,45.5004807658375
177,Jean-Talon,Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,293234.66,5039904.07,-73.6479858121748,45.4989630125987
178,Kindersley,Savane,Côte-des-Neiges - Notre-Dame-de-Grâce,293034.87,5040083.46,-73.6505465440717,45.5005738958844
179,Lacombe,Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,294716.17,5038963.54,-73.6290096844689,45.4905227137568
180,La Peltrie,Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,294191.53,5039296.35,-73.6357289558082,45.4935097009895
181,Lavoie,Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,294184.85,5039613.88,-73.6358212904952,45.4963668669963
182,Légaré,Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,294325.53,5039838.92,-73.6340260928324,45.4983939962512
183,Lemieux,Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,293926.34,5039206.33,-73.6391198970625,45.4926955813735
184,Mackenzie,Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,293519.94,5039724.65,-73.6443313618821,45.4973531886668
185,Boisé / Northcrest,Van Horne,Côte-des-Neiges - Notre-Dame-de-Grâce,295196.92,5041290.88,-73.6229046754285,45.511471860492
186,Queen-Mary,Face au 3800 (Oratoire),Côte-des-Neiges - Notre-Dame-de-Grâce,295404.7,5039315.5,-73.6202075828079,45.4936994093139
187,Plamondon,Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,293816.12,5039535.65,-73.6405374412547,45.4956572139725
188,Saint-Kevin,Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,294571.37,5039055.83,-73.6308641333029,45.4913510712434
189,Savane,Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,293114.46,5040099.51,-73.6495284966311,45.5007196579251
190,Van Horne,Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,294043.9,5039391.63,-73.6376198751191,45.4943648103813
191,Van Horne,Vimy,Côte-des-Neiges - Notre-Dame-de-Grâce,295342.34,5041521.86,-73.6210479825395,45.5135522971013
192,Van Horne,Westbury,Côte-des-Neiges - Notre-Dame-de-Grâce,293819.27,5039054.54,-73.6404863732114,45.4913280345364
193,Van Horne,Wilderton,Côte-des-Neiges - Notre-Dame-de-Grâce,295105.59,5041110.65,-73.6240699931338,45.5098488157783
194,Vézina,Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,293599.57,5039675.89,-73.6433113651257,45.4969157089539
195,Crémazie,Michel-Jurdant,Villeray - Saint-Michel - Parc-Extension,295743.95,5046404.93,-73.6159981156167,45.5574972520743
196,Allard,La Vérendrye,Sud-Ouest,298043.23,5034598.65,-73.5863842539062,45.4512855206752
197,Angers,Église,Sud-Ouest,298182.4,5035961.08,-73.5846233249394,45.4635466686891
198,Angers,Jolicoeur,Sud-Ouest,298140.74,5035250.21,-73.5851464276652,45.4571495177212
